RANK,PLAYER,PASSYDS,PASSTD,INT,RUSHYDS,RUSHTD,RECYDS,RECTD
105,"James RobinsonQ
JaxRB",0,0,0,696,6,196,1
106,"James Cook
BufRB",0,0,0,365,2,323,2
107,"Kenneth Walker IIIQ
SeaRB",0,0,0,691,4,154,1
108,"Dameon Pierce
HouRB",0,0,0,668,4,168,1
109,"Mike Gesicki
MiaTE",0,0,0,0,0,577,4
110,"Pat Freiermuth
PitTE",0,0,0,0,0,563,4
111,"Jakobi Meyers
NEWR",0,0,0,0,0,782,4
112,"Russell GageQ
TBWR",0,0,0,0,0,721,5
113,"Marquez Valdes-ScantlingQ
KCWR",0,0,0,11,0,881,6
114,"Kenny Golladay
NYGWR",0,0,0,0,0,719,5
115,"Skyy Moore
KCWR",0,0,0,0,0,705,6
116,"Tyler Boyd
CinWR",0,0,0,13,0,735,4
117,"Treylon BurksQ
TenWR",0,0,0,44,0,699,5
118,"Michael Carter
NYJRB",0,0,0,430,3,367,2
119,"Melvin Gordon III
DenRB",0,0,0,603,6,187,1
120,"Nyheim Hines
IndRB",0,0,0,257,2,420,2
121,"J.D. McKissicQ
WshRB",0,0,0,278,2,390,1
122,"Derek Carr
LVQB",4187,27,12,102,1,0,0
123,"Kirk Cousins
MinQB",4110,29,10,97,1,0,0
124,"Cole Kmet
ChiTE",0,0,0,0,0,640,4
125,"Hunter Henry
NETE",0,0,0,0,0,565,6
126,"Dawson Knox
BufTE",0,0,0,0,0,556,6
127,"Trevor Lawrence
JaxQB",3889,23,15,307,2,0,0
128,"Tua Tagovailoa
MiaQB",3983,26,13,183,3,0,0
129,"Justin Fields
ChiQB",3625,18,15,602,3,0,0
130,"Jahan Dotson
WshWR",0,0,0,0,0,747,5
131,"DJ Chark
DetWR",0,0,0,0,0,705,5
132,"Jarvis Landry
NOWR",18,0,0,1,0,740,4
133,"Joshua Palmer
LACWR",0,0,0,0,0,631,5
134,"Robbie Anderson
CarWR",0,0,0,24,0,823,4
135,"Marvin Jones Jr.
JaxWR",0,0,0,0,0,682,6
136,"DeVante Parker
NEWR",0,0,0,0,0,706,4
137,"Noah Fant
SeaTE",0,0,0,0,0,612,3
138,"Irv Smith Jr.Q
MinTE",0,0,0,0,0,524,5
139,"David Njoku
CleTE",0,0,0,0,0,579,4
140,"Tyler Higbee
LARTE",0,0,0,0,0,502,5
141,"Bills D/ST
BufD/ST",0,0,0,0,0,0,0
142,"Saints D/ST
NOD/ST",0,0,0,0,0,0,0
143,"Packers D/ST
GBD/ST",0,0,0,0,0,0,0
144,"Ravens D/ST
BalD/ST",0,0,0,0,0,0,0
145,"Buccaneers D/ST
TBD/ST",0,0,0,0,0,0,0
146,"49ers D/ST
SFD/ST",0,0,0,0,0,0,0
147,"Cowboys D/ST
DalD/ST",0,0,0,0,0,0,0
148,"Colts D/ST
IndD/ST",0,0,0,0,0,0,0
149,"Steelers D/ST
PitD/ST",0,0,0,0,0,0,0
150,"Commanders D/ST
WshD/ST",0,0,0,0,0,0,0
151,"Justin Tucker
BalK",0,0,0,0,0,0,0
152,"Evan McPherson
CinK",0,0,0,0,0,0,0
153,"Matt Gay
LARK",0,0,0,0,0,0,0
154,"Harrison Butker
KCK",0,0,0,0,0,0,0
155,"Daniel Carlson
LVK",0,0,0,0,0,0,0
156,"Brandon McManus
DenK",0,0,0,0,0,0,0
157,"Nick Folk
NEK",0,0,0,0,0,0,0
158,"Tyler Bass
BufK",0,0,0,0,0,0,0
159,"Matt Prater
AriK",0,0,0,0,0,0,0
160,"Graham GanoQ
NYGK",0,0,0,0,0,0,0
161,"Raheem Mostert
MiaRB",0,0,0,676,5,100,1
162,"Marlon Mack
HouRB",0,0,0,584,4,119,0
163,"Alexander Mattison
MinRB",0,0,0,475,4,159,1
164,"Darrell Henderson Jr.Q
LARRB",0,0,0,437,3,166,1
165,"Jamaal Williams
DetRB",0,0,0,584,4,126,1
166,"Kenneth Gainwell
PhiRB",0,0,0,332,3,221,1
167,"Isaiah SpillerQ
LACRB",0,0,0,429,3,94,1
168,"Khalil HerbertQ
ChiRB",0,0,0,465,3,119,1
169,"Tyler Allgeier
AtlRB",0,0,0,414,2,116,1
170,"Brian Robinson
WshRB",0,0,0,599,6,89,0
171,"Jalen Tolbert
DalWR",0,0,0,0,0,697,5
172,"Rondale Moore
AriWR",0,0,0,116,1,544,3
173,"Mecole Hardman
KCWR",0,0,0,71,1,563,4
174,"Michael GallupO
DalWR",0,0,0,0,0,686,5
175,"Nico Collins
HouWR",0,0,0,0,0,746,4
176,"Julio Jones
TBWR",0,0,0,0,0,573,4
177,"George Pickens
PitWR",0,0,0,0,0,729,3
178,"Van JeffersonQ
LARWR",0,0,0,27,0,701,5
179,"Curtis Samuel
WshWR",0,0,0,76,1,528,4
180,"Wan'Dale Robinson
NYGWR",0,0,0,72,1,645,3
181,"Christian WatsonQ
GBWR",0,0,0,24,0,508,4
182,"Jameson WilliamsO
DetWR",0,0,0,0,0,440,3
183,"Alec Pierce
IndWR",0,0,0,0,0,677,5
184,"Evan Engram
JaxTE",0,0,0,0,0,570,3
185,"Austin Hooper
TenTE",0,0,0,0,0,495,4
186,"Hayden Hurst
CinTE",0,0,0,0,0,529,4
187,"Daniel Jones
NYGQB",3699,20,12,382,3,0,0
188,"Carson Wentz
WshQB",3758,24,10,217,2,0,0
189,"Chargers D/ST
LACD/ST",0,0,0,0,0,0,0
190,"Dolphins D/ST
MiaD/ST",0,0,0,0,0,0,0
191,"Greg Joseph
MinK",0,0,0,0,0,0,0
192,"Jake Elliott
PhiK",0,0,0,0,0,0,0
193,"Isiah Pacheco
KCRB",0,0,0,307,3,101,1
194,"Rachaad White
TBRB",0,0,0,324,3,185,1
195,"Rex Burkhead
HouRB",0,0,0,231,2,285,2
196,"Sony Michel
MiaRB",0,0,0,396,3,60,0
197,"Darrel Williams
AriRB",0,0,0,241,3,225,1
198,"Jerick McKinnon
KCRB",0,0,0,169,2,235,1
199,"Ronald Jones
KCRB",0,0,0,121,1,32,0
200,"Mark Ingram II
NORB",0,0,0,467,4,112,0
