RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASSYDS,PASSTD,REC,RECYDS,RECTD,ATT,RUSHYDS,RUSHTD
204,10,KJ Hamler,DEN,7.4,0,0,5,74,0,0,0,0
205,11,Donovan Peoples-Jones,CLE,75.7,0,0,34,597,3,0,0,0
206,11,Boston Scott,PHI,85.6,0,0,13,83,0,87,373,7
207,11,Miami Dolphins,MIA,155,0,0,0,0,0,0,0,0
208,11,Green Bay Packers,GB,117,0,0,0,0,0,0,0,0
209,11,Alec Pierce,IND,0,0,0,0,0,0,0,0,0
210,11,Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,0
211,11,Curtis Samuel,WAS,3.8,0,0,6,27,0,4,11,0
212,11,Parris Campbell,IND,22.2,0,0,10,162,1,0,0,0
213,11,Brevin Jordan,HOU,35.8,0,0,20,178,3,0,0,0
214,11,Kansas City Chiefs,KC,131,0,0,0,0,0,0,0,0
215,11,Isaiah McKenzie,BUF,32.5,0,0,20,178,1,9,47,1
216,11,Harrison Butker,KC,140,0,0,0,0,0,0,0,0
217,11,Kendrick Bourne,NE,125.5,0,0,55,800,5,12,125,0
218,11,Ryan Succop,TB,138,0,0,0,0,0,0,0,0
219,11,Marcus Mariota,ATL,14.86,4,0,0,0,0,13,87,1
220,11,Tyrion Davis-Price,SF,0,0,0,0,0,0,0,0,0
221,11,Jamison Crowder,BUF,58.7,0,0,51,447,2,0,0,0
222,11,Matt Prater,ARI,154,0,0,0,0,0,0,0,0
223,11,Cleveland Browns,CLE,104,0,0,0,0,0,0,0,0
224,11,Baltimore Ravens,BAL,85,0,0,0,0,0,0,0,0
225,11,Romeo Doubs,GB,0,0,0,0,0,0,0,0,0
226,11,A.J. Green,ARI,102.8,0,0,54,848,3,0,0,0
227,11,Pittsburgh Steelers,PIT,111,0,0,0,0,0,0,0,0
228,11,Mo Alie-Cox,IND,55.6,0,0,24,316,4,0,0,0
229,11,Philadelphia Eagles,PHI,111,0,0,0,0,0,0,0,0
230,11,Jason Sanders,MIA,115,0,0,0,0,0,0,0,0
231,11,Chuba Hubbard,CAR,112.6,0,0,25,174,1,172,612,5
232,11,Samaje Perine,CIN,56.2,0,0,27,196,1,55,246,1
233,11,Jonnu Smith,NE,39.4,0,0,28,294,1,9,40,0
234,11,Rodrigo Blankenship,IND,45,0,0,0,0,0,0,0,0
235,11,D'Ernest Johnson,CLE,85.1,0,0,19,137,0,100,534,3
236,11,Younghoe Koo,ATL,125,0,0,0,0,0,0,0,0
237,11,David Bell,CLE,0,0,0,0,0,0,0,0,0
238,11,Brandon McManus,DEN,129,0,0,0,0,0,0,0,0
239,11,Trey Sermon,SF,25.3,0,0,3,26,0,41,167,1
240,11,Deshaun Watson,CLE,0,0,0,0,0,0,0,0,0
241,11,Sterling Shepard,NYG,41.7,0,0,36,366,1,1,-9,0
242,11,Damien Williams,ATL,44.7,0,0,16,103,1,40,164,2
243,11,Jeff Wilson Jr.,SF,44.5,0,0,7,31,0,79,294,2
244,11,Zack Moss,BUF,82.2,0,0,23,197,1,96,345,4
245,11,Arizona Cardinals,ARI,126,0,0,0,0,0,0,0,0
246,11,Laviska Shenault Jr.,JAC,64,0,0,63,619,0,11,41,0
247,11,Nick Folk,NE,171,0,0,0,0,0,0,0,0
248,11,Robbie Gould,SF,112,0,0,0,0,0,0,0,0
249,11,Zay Jones,JAC,58.9,0,0,47,546,1,2,3,0
250,11,Mitch Trubisky,PIT,9.12,43,0,0,0,0,13,24,1
251,11,Cincinnati Bengals,CIN,108,0,0,0,0,0,0,0,0
252,11,Tennessee Titans,TEN,123,0,0,0,0,0,0,0,0
253,11,Jerick McKinnon,KC,22.9,0,0,13,107,1,12,62,0
254,11,Adam Trautman,NO,36.3,0,0,27,263,2,0,0,0
255,11,Jake Elliott,PHI,150,0,0,0,0,0,0,0,0
256,11,Terrace Marshall Jr.,CAR,15.8,0,0,17,138,0,0,0,0
257,12,Byron Pringle,CHI,84.8,0,0,42,568,5,0,0,0
258,12,Sammy Watkins,GB,43.4,0,0,27,394,1,0,0,0
259,12,Mike Davis,BAL,94.2,0,0,44,259,1,138,503,3
260,12,Dustin Hopkins,LAC,147,0,0,0,0,0,0,0,0
261,12,Randall Cobb,GB,65.6,0,0,28,375,5,1,1,0
262,12,Bryan Edwards,ATL,75.1,0,0,34,571,3,1,0,0
263,12,Rex Burkhead,HOU,79.3,0,0,25,186,0,122,427,3
264,12,Carolina Panthers,CAR,89,0,0,0,0,0,0,0,0
265,12,Cameron Brate,TB,48.5,0,0,30,245,4,0,0,0
266,12,Wil Lutz,NO,0,0,0,0,0,0,0,0,0
267,12,Minnesota Vikings,MIN,124,0,0,0,0,0,0,0,0
268,12,Eno Benjamin,ARI,22,0,0,6,42,0,34,118,1
269,12,Greg Zuerlein,NYJ,140,0,0,0,0,0,0,0,0
270,12,Braxton Berrios,NYJ,75.1,0,0,46,431,2,7,40,2
271,12,Chris Boswell,PIT,162,0,0,0,0,0,0,0,0
272,12,Dan Arnold,JAC,40.8,0,0,35,408,0,0,0,0
273,12,Mason Crosby,GB,134,0,0,0,0,0,0,0,0
274,12,C.J. Uzomah,NYJ,79.3,0,0,49,493,5,0,0,0
275,12,Matt Breida,NYG,35.7,0,0,7,72,2,26,125,1
276,12,Nelson Agholor,NE,66.4,0,0,37,473,3,3,11,0
277,12,Cedrick Wilson Jr.,MIA,102.82,0,0,45,602,6,2,11,0
278,12,Marquez Callaway,NO,105.8,0,0,46,698,6,0,0,0
279,12,Kenyan Drake,FA,72.5,0,0,30,291,1,63,254,2
