RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASSYDS,PASSTD,REC,RECYDS,RECTD,ATT,RUSHYDS,RUSHTD
492,15,Dez Fitzpatrick,TEN,10.9,0,0,5,49,1,0,0,0
493,15,Julius Chestnut,TEN,0,0,0,0,0,0,0,0,0
494,15,Rico Dowdle,DAL,0,0,0,0,0,0,0,0,0
495,15,Erik Ezukanma,MIA,0,0,0,0,0,0,0,0,0
496,15,Larry Rountree III,LAC,14.6,0,0,1,-1,0,36,87,1
497,15,Qadree Ollison,ATL,15.7,0,0,4,12,0,21,105,1
498,15,Tyler Goodson,GB,0,0,0,0,0,0,0,0,0
499,16,Dwayne Washington,NO,2.8,0,0,2,12,0,4,16,0
500,16,Chris Moore,HOU,34.7,0,0,21,227,2,0,0,0
501,16,Andy Dalton,NO,93.2,1515,8,0,0,0,16,76,0
502,16,Charlie Kolar,BAL,0,0,0,0,0,0,0,0,0
503,16,Nick Boyle,BAL,0.2,0,0,1,2,0,0,0,0
504,16,Tyler Davis,GB,3.5,0,0,4,35,0,0,0,0
505,16,Drew Sample,CIN,8.1,0,0,11,81,0,0,0,0
506,16,JaMycal Hasty,SF,26.5,0,0,23,157,0,16,68,1
507,16,Ray-Ray McCloud,SF,27.2,0,0,39,277,0,2,15,0
508,16,Mike White,NYJ,52.02,953,5,0,0,0,5,-1,0
509,16,Kevin Harris,NE,0,0,0,0,0,0,0,0,0
510,16,Jake Funk,LAR,0.5,0,0,0,0,0,2,5,0
511,16,Miles Boykin,PIT,0.6,0,0,1,6,0,0,0,0
512,16,Kylin Hill,GB,2.9,0,0,1,5,0,10,24,0
513,16,Taylor Heinicke,WAS,236.86,3419,20,0,0,0,60,313,1
514,16,Lance McCutcheon,LAR,0,0,0,0,0,0,0,0,0
515,16,Breshad Perriman,TB,22.4,0,0,11,167,1,1,-3,0
516,16,Josh Gordon,KC,9.2,0,0,5,32,1,0,0,0
517,16,Brycen Hopkins,LAR,0.9,0,0,1,9,0,0,0,0
518,16,Brandon Zylstra,CAR,31,0,0,18,250,1,0,0,0
519,16,Ross Dwelley,SF,11.1,0,0,4,51,1,0,0,0
520,16,Hunter Long,MIA,0.8,0,0,1,8,0,0,0,0
521,16,Sincere McCormick,LV,0,0,0,0,0,0,0,0,0
522,16,Zonovan Knight,NYJ,0,0,0,0,0,0,0,0,0
523,16,Nick Vannett,NO,19.3,0,0,9,133,1,0,0,0
524,16,Zach Gentry,PIT,16.7,0,0,19,167,0,0,0,0
525,16,Kyle Allen,HOU,7.9,120,1,0,0,0,2,11,0
526,16,Trent Sherfield,MIA,14.7,0,0,9,87,1,0,0,0
527,16,Johnny Mundt,MIN,0.9,0,0,1,9,0,0,0,0
528,16,Marcedes Lewis,GB,21.4,0,0,23,214,0,0,0,0
529,16,Jerrion Ealy,KC,0,0,0,0,0,0,0,0,0
530,16,Cam Sims,WAS,33.8,0,0,15,211,2,1,7,0
531,16,Marcus Johnson,SF,15.8,0,0,9,160,0,2,-2,0
532,16,J.J. Taylor,NE,14.5,0,0,4,8,0,19,37,2
533,16,Mike Thomas,CIN,5.2,0,0,5,52,0,0,0,0
534,16,Kendall Hinton,DEN,23.54,0,0,15,175,1,0,0,0
535,16,Bo Melton,SEA,0,0,0,0,0,0,0,0,0
536,16,Kendall Blanton,WAS,3.7,0,0,4,37,0,0,0,0
537,16,Alec Ingold,MIA,14.6,0,0,10,85,1,2,1,0
